net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,144,Metal2,metal,0.34,0,2.3168e-05,2.3168e-05,2.3168e-05,3.6705e-04,0.0631,0.0,0.0,0.0631,avg,ok,25.59,10.475,25.67,11.45
VREG,143,Metal2,metal,0.34,0,2.3168e-05,2.3168e-05,2.3168e-05,3.6705e-04,0.0631,0.0,0.0,0.0631,avg,ok,25.72,11.7,25.67,11.45
VSS,75,Metal2,metal,2.0,0,1.3455e-04,1.3455e-04,1.3455e-04,2.1591e-03,0.0623,0.0,0.0,0.0623,avg,ok,24.25,-2.15,26.0,-2.15
VSS,76,Metal2,metal,2.0,0,1.3455e-04,1.3455e-04,1.3455e-04,2.1591e-03,0.0623,0.0,0.0,0.0623,avg,ok,27.5,-2.15,26.0,-2.15
VREG,136,Metal2,metal,0.5,0,3.2951e-05,3.2951e-05,3.2951e-05,5.3977e-04,0.061,0.0,0.0,0.061,avg,ok,16.29,10.475,16.29,9.5
VREG,135,Metal2,metal,0.5,0,3.2951e-05,3.2951e-05,3.2951e-05,5.3977e-04,0.061,0.0,0.0,0.061,avg,ok,16.29,9.45,16.29,9.5
VREG,176,Metal2,metal,0.5,0,3.2951e-05,3.2951e-05,3.2951e-05,5.3977e-04,0.061,0.0,0.0,0.061,avg,ok,44.19,10.475,44.19,9.5
VREG,175,Metal2,metal,0.5,0,3.2951e-05,3.2951e-05,3.2951e-05,5.3977e-04,0.061,0.0,0.0,0.061,avg,ok,44.19,9.45,44.19,9.5
VSS,31,Metal1,metal,2.02,0,6.5665e-05,6.5665e-05,6.5665e-05,1.0903e-03,0.0602,0.0,0.0,0.0602,avg,ok,14.5,-2.14,16.0,-2.14
VSS,19,Metal1,metal,0.5,0,1.6147e-05,1.6147e-05,1.6147e-05,2.6989e-04,0.0598,0.0,0.0,0.0598,avg,ok,-0.35,-2.14,-0.365,-1.13
VREG,187,Via1,via,0.0,1,1.2798e-05,1.2798e-05,1.2798e-05,2.1591e-04,0.0593,0.0,0.0,0.0593,avg,ok,34.685,11.7,34.685,11.7
VREG,5,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,49.465,4.918,49.465,4.835
VREG,55,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,26.44,8.4,26.44,5.35
VREG,91,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,50.315,5.375,50.315,3.35
VREG,18,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,6.99,6.926,6.99,4.617
VREG,40,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,34.89,6.926,34.89,4.617
VREG,46,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,44.19,6.926,44.19,4.617
VREG,24,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,16.29,6.926,16.29,4.617
VREG,32,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,25.59,6.926,25.59,4.617
