net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,22,Metal1,metal,0.3,0,1.3836e-05,1.3836e-05,1.3836e-05,1.6193e-04,0.0854,0.0,0.0,0.0854,avg,ok,16.29,6.926,16.29,9.235
VREG,30,Metal1,metal,0.3,0,1.3836e-05,1.3836e-05,1.3836e-05,1.6193e-04,0.0854,0.0,0.0,0.0854,avg,ok,25.59,6.926,25.59,9.235
VREG,38,Metal1,metal,0.3,0,1.3836e-05,1.3836e-05,1.3836e-05,1.6193e-04,0.0854,0.0,0.0,0.0854,avg,ok,34.89,6.926,34.89,9.235
VREG,49,Metal1,metal,0.3,0,1.3836e-05,1.3836e-05,1.3836e-05,1.6193e-04,0.0854,0.0,0.0,0.0854,avg,ok,7.84,8.44,7.84,11.53
VREG,89,Metal1,metal,0.3,0,1.3836e-05,1.3836e-05,1.3836e-05,1.6193e-04,0.0854,0.0,0.0,0.0854,avg,ok,50.315,5.388,50.315,7.425
VREG,16,Metal1,metal,0.14,0,6.2208e-06,6.2208e-06,6.2208e-06,7.5568e-05,0.0823,0.0,0.0,0.0823,avg,ok,6.99,6.926,7.07,9.235
VSS,24,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,18.335,2.435,18.335,-1.13
VSS,11,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,47.035,0.935,47.035,-1.13
VSS,16,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,-0.265,2.435,-0.265,-1.13
VSS,9,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,41.94,-0.065,41.94,-1.13
